"Site No","Site Name","Business No","Business Name","Year","Week No","Week Beginning","Weekly Average AF","Reason For No Count","SG Action","Mitigation","Additional Mitigation","Additional Information","National Grid Reference","Easting","Northing"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","52","2025-12-22","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","51","2025-12-15","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","50","2025-12-08","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","49","2025-12-01","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","48","2025-11-24","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","47","2025-11-17","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","46","2025-11-10","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","45","2025-11-03","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","44","2025-10-27","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","43","2025-10-20","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","42","2025-10-13","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","41","2025-10-06","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","40","2025-09-29","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","39","2025-09-22","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan","FB0012","Otter Ferry Seafish  Ltd","2025","38","2025-09-15","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","34","2025-08-18","","Site fallow","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","33","2025-08-11","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","32","2025-08-04","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","31","2025-07-28","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","30","2025-07-21","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","29","2025-07-14","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","28","2025-07-07","0","","","","","","NR945867","194500","686700"
"FS0001","Evanachan Salt Water","FB0012","Otter Ferry Seafish  Ltd","2025","27","2025-06-30","0","","","","","","NR945867","194500","686700"
